Label String,Label Integer
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
RANDOM,2
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
RANDOM,2
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
RANDOM,2
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
RANDOM,2
RANDOM,2
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
RANDOM,2
RANDOM,2
RANDOM,2
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
RANDOM,2
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
RANDOM,2
RANDOM,2
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
RANDOM,2
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
RANDOM,2
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
RANDOM,2
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
RANDOM,2
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
RANDOM,2
SUITE,1
RANDOM,2
TIE,0
RANDOM,2
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
RANDOM,2
SUITE,1
RANDOM,2
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
RANDOM,2
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
RANDOM,2
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
RANDOM,2
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
RANDOM,2
RANDOM,2
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
RANDOM,2
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
RANDOM,2
SUITE,1
RANDOM,2
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
RANDOM,2
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
RANDOM,2
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
RANDOM,2
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
RANDOM,2
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
RANDOM,2
RANDOM,2
SUITE,1
TIE,0
SUITE,1
RANDOM,2
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
RANDOM,2
SUITE,1
TIE,0
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
RANDOM,2
SUITE,1
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
RANDOM,2
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
RANDOM,2
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
SUITE,1
RANDOM,2
RANDOM,2
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
SUITE,1
SUITE,1
TIE,0
SUITE,1
SUITE,1
SUITE,1
TIE,0
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
SUITE,1
SUITE,1
TIE,0
TIE,0
SUITE,1
TIE,0
TIE,0
